Date,dia,hora,Suma de sms,Suma de whatsapp_activo,Suma de whatsapp_inactivo,Suma de email,Target,Suma de purchase_intention,Suma de funnel_purchase,Suma de funnel_viewItem,Suma de funnel_checkout,Suma de funnel_cart
1/27/2025 0:00,0-Lunes,00,109,0,0,109,0,,,,,
1/27/2025 0:00,0-Lunes,01,1279,0,0,1279,0,,,,,
1/27/2025 0:00,0-Lunes,02,150,0,0,150,0,,,,,
1/27/2025 0:00,0-Lunes,03,148,0,0,148,0,,,,,
1/27/2025 0:00,0-Lunes,04,118,0,0,118,0,,,,,
1/27/2025 0:00,0-Lunes,05,128,0,0,128,0,,,,,
1/26/2025 0:00,6-Domingo,00,139,0,0,139,0,,,,,
1/26/2025 0:00,6-Domingo,01,248,0,0,248,0,,,,,
1/26/2025 0:00,6-Domingo,02,134,0,0,134,0,,,,,
1/26/2025 0:00,6-Domingo,03,161,0,0,161,0,,,,,
1/26/2025 0:00,6-Domingo,04,139,0,0,139,0,,,,,
1/26/2025 0:00,6-Domingo,05,130,0,0,130,0,,,,,
1/26/2025 0:00,6-Domingo,06,146,0,0,146,0,,,,,
1/26/2025 0:00,6-Domingo,07,124,0,0,124,0,,,,,
1/26/2025 0:00,6-Domingo,08,171,0,0,171,0,,,,,
1/26/2025 0:00,6-Domingo,09,186,0,0,186,0,,,,,
1/26/2025 0:00,6-Domingo,10,287,0,0,287,0,,,,,
1/26/2025 0:00,6-Domingo,11,140,0,0,140,0,,,,,
1/26/2025 0:00,6-Domingo,12,545,0,0,545,0,,,,,
1/26/2025 0:00,6-Domingo,13,575,0,0,575,0,,,,,
1/26/2025 0:00,6-Domingo,14,202,0,0,202,0,,,,,
1/26/2025 0:00,6-Domingo,15,657,0,0,657,0,,,,,
1/26/2025 0:00,6-Domingo,16,197,0,0,197,0,,,,,
1/26/2025 0:00,6-Domingo,17,171,0,0,171,0,,,,,
1/26/2025 0:00,6-Domingo,18,141,0,0,141,0,,,,,
1/26/2025 0:00,6-Domingo,19,136,0,0,136,0,,,,,
1/26/2025 0:00,6-Domingo,20,139,0,0,139,0,,,,,
1/26/2025 0:00,6-Domingo,21,164,0,0,164,0,,,,,
1/26/2025 0:00,6-Domingo,22,258,0,0,258,0,,,,,
1/26/2025 0:00,6-Domingo,23,156,0,0,156,0,,,,,
1/25/2025 0:00,5-Sábado,00,77,0,0,77,0,,,,,
1/25/2025 0:00,5-Sábado,01,64,0,0,64,0,,,,,
1/25/2025 0:00,5-Sábado,02,82,0,0,82,0,,,,,
1/25/2025 0:00,5-Sábado,03,65,0,0,65,0,,,,,
1/25/2025 0:00,5-Sábado,04,64,0,0,64,0,,,,,
1/25/2025 0:00,5-Sábado,05,74,0,0,74,0,,,,,
1/25/2025 0:00,5-Sábado,06,59,0,0,59,0,,,,,
1/25/2025 0:00,5-Sábado,07,54,0,0,54,0,,,,,
1/25/2025 0:00,5-Sábado,08,62,0,0,62,0,,,,,
1/25/2025 0:00,5-Sábado,09,315,0,0,315,0,,,,,
1/25/2025 0:00,5-Sábado,10,154,0,0,154,0,,,,,
1/25/2025 0:00,5-Sábado,11,74,0,0,74,0,,,,,
1/25/2025 0:00,5-Sábado,12,117,0,0,117,0,,,,,
1/25/2025 0:00,5-Sábado,13,354,0,0,354,0,,,,,
1/25/2025 0:00,5-Sábado,14,136,0,0,136,0,,,,,
1/25/2025 0:00,5-Sábado,15,184,0,0,184,0,,,,,
1/25/2025 0:00,5-Sábado,16,1202,0,0,1202,0,,,,,
1/25/2025 0:00,5-Sábado,17,159,0,0,159,0,,,,,
1/25/2025 0:00,5-Sábado,18,616,0,0,616,0,,,,,
1/25/2025 0:00,5-Sábado,19,1054,0,0,1054,0,,,,,
1/25/2025 0:00,5-Sábado,20,195,0,0,195,0,,,,,
1/25/2025 0:00,5-Sábado,21,182,0,0,182,0,,,,,
1/25/2025 0:00,5-Sábado,22,178,0,0,178,0,,,,,
1/25/2025 0:00,5-Sábado,23,1194,0,0,1194,0,,,,,
1/24/2025 0:00,4-Viernes,00,66,0,0,66,0,,,,,
1/24/2025 0:00,4-Viernes,01,15,0,0,15,0,,,,,
1/24/2025 0:00,4-Viernes,02,8,0,0,8,0,,,,,
1/24/2025 0:00,4-Viernes,03,25,0,0,25,0,,,,,
1/24/2025 0:00,4-Viernes,04,12,0,0,12,0,,,,,
1/24/2025 0:00,4-Viernes,05,17,0,0,17,0,,,,,
1/24/2025 0:00,4-Viernes,06,20,0,0,20,0,,,,,
1/24/2025 0:00,4-Viernes,07,29,0,0,29,0,,,,,
1/24/2025 0:00,4-Viernes,08,27,0,0,27,0,,,,,
1/24/2025 0:00,4-Viernes,09,365,0,0,365,0,,,,,
1/24/2025 0:00,4-Viernes,10,93,0,0,93,0,,,,,
1/24/2025 0:00,4-Viernes,11,83,0,0,83,0,,,,,
1/24/2025 0:00,4-Viernes,12,291,0,0,291,0,,,,,
1/24/2025 0:00,4-Viernes,13,77,0,0,77,0,,,,,
1/24/2025 0:00,4-Viernes,14,38,0,0,38,0,,,,,
1/24/2025 0:00,4-Viernes,15,40,0,0,40,0,,,,,
1/24/2025 0:00,4-Viernes,16,278,0,0,278,0,,,,,
1/24/2025 0:00,4-Viernes,17,45,0,0,45,0,,,,,
1/24/2025 0:00,4-Viernes,18,136,0,0,136,0,,,,,
1/24/2025 0:00,4-Viernes,19,262,0,0,262,0,,,,,
1/24/2025 0:00,4-Viernes,20,97,0,0,97,0,,,,,
1/24/2025 0:00,4-Viernes,21,77,0,0,77,0,,,,,
1/24/2025 0:00,4-Viernes,22,572,0,0,572,0,,,,,
1/24/2025 0:00,4-Viernes,23,89,0,0,89,0,,,,,
1/23/2025 0:00,3-Jueves,00,36,0,0,36,464.944368,148,11,70,5,32
1/23/2025 0:00,3-Jueves,01,50,0,0,50,257.604312,82,3,36,2,19
1/23/2025 0:00,3-Jueves,02,32,0,0,32,135.085188,43,4,20,1,8
1/23/2025 0:00,3-Jueves,03,354,0,0,354,138.226704,44,1,18,2,10
1/23/2025 0:00,3-Jueves,04,54,0,0,54,182.207928,58,1,25,1,12
1/23/2025 0:00,3-Jueves,05,58,0,0,58,226.189152,72,1,39,2,11
1/23/2025 0:00,3-Jueves,06,32,0,0,32,333.000696,106,3,63,0,14
1/23/2025 0:00,3-Jueves,07,56,0,0,56,512.067108,163,7,93,2,22
1/23/2025 0:00,3-Jueves,08,156,0,0,156,537.199236,171,6,85,5,29
1/23/2025 0:00,3-Jueves,09,1508,0,0,1508,600.029556,191,7,92,6,38
1/23/2025 0:00,3-Jueves,10,109,0,0,109,644.01078,205,8,93,6,42
1/23/2025 0:00,3-Jueves,11,63,0,0,63,480.651948,153,1,58,4,15
1/23/2025 0:00,3-Jueves,12,1767,0,0,1767,380.123436,121,0,10,0,7
1/23/2025 0:00,3-Jueves,13,38,0,0,38,336.142212,107,0,12,0,4
1/23/2025 0:00,3-Jueves,14,146,0,0,146,78.5379,25,0,5,1,5
1/23/2025 0:00,3-Jueves,15,43,0,0,43,0,,,,,
1/23/2025 0:00,3-Jueves,16,1344,0,0,1344,0,,,,,
1/23/2025 0:00,3-Jueves,17,51,0,0,51,0,,,,,
1/23/2025 0:00,3-Jueves,18,652,0,0,652,0,,,,,
1/23/2025 0:00,3-Jueves,19,38,0,0,38,0,,,,,
1/23/2025 0:00,3-Jueves,20,157,0,0,157,0,,,,,
1/23/2025 0:00,3-Jueves,21,28,0,0,28,0,,,,,
1/23/2025 0:00,3-Jueves,22,152,0,0,152,0,,,,,
1/23/2025 0:00,3-Jueves,23,21,0,0,21,0,,,,,
1/22/2025 0:00,2-Miércoles,00,58,0,0,58,358.132824,114,1,54,0,31
1/22/2025 0:00,2-Miércoles,01,56,0,0,56,175.924896,56,1,19,1,15
1/22/2025 0:00,2-Miércoles,02,50,0,0,50,106.811544,34,0,13,2,6
1/22/2025 0:00,2-Miércoles,03,93,0,0,93,69.113352,22,0,10,0,4
1/22/2025 0:00,2-Miércoles,04,54,0,0,54,78.5379,25,0,4,0,8
1/22/2025 0:00,2-Miércoles,05,59,0,0,59,160.217316,51,0,18,0,11
1/22/2025 0:00,2-Miércoles,06,58,0,0,58,226.189152,72,3,32,3,10
1/22/2025 0:00,2-Miércoles,07,50,0,0,50,329.85918,105,6,35,2,16
1/22/2025 0:00,2-Miércoles,08,198,0,0,198,405.255564,129,6,48,1,24
1/22/2025 0:00,2-Miércoles,09,603,0,0,603,515.208624,164,10,59,3,30
1/22/2025 0:00,2-Miércoles,10,526,0,0,526,505.784076,161,12,57,8,27
1/22/2025 0:00,2-Miércoles,11,50,0,0,50,477.510432,152,11,63,2,28
1/22/2025 0:00,2-Miércoles,12,1026,0,0,1026,477.510432,152,12,58,3,34
1/22/2025 0:00,2-Miércoles,13,360,0,0,360,395.831016,126,5,51,1,24
1/22/2025 0:00,2-Miércoles,14,250,0,0,250,405.255564,129,6,53,4,22
1/22/2025 0:00,2-Miércoles,15,66,0,0,66,442.953756,141,6,64,3,26
1/22/2025 0:00,2-Miércoles,16,1178,0,0,1178,647.152296,206,12,84,5,36
1/22/2025 0:00,2-Miércoles,17,76,0,0,76,650.293812,207,9,83,3,36
1/22/2025 0:00,2-Miércoles,18,1368,0,0,1368,757.105356,241,10,112,7,36
1/22/2025 0:00,2-Miércoles,19,102,0,0,102,1542.484356,491,17,323,5,69
1/22/2025 0:00,2-Miércoles,20,56,0,0,56,4404.405432,1402,44,1073,21,174
1/22/2025 0:00,2-Miércoles,21,141,0,0,141,1925.749308,613,20,398,14,91
1/22/2025 0:00,2-Miércoles,22,157,0,0,157,1215.766692,387,18,239,7,49
1/22/2025 0:00,2-Miércoles,23,63,0,0,63,706.8411,225,8,115,9,47
1/21/2025 0:00,1-Martes,00,112,0,0,112,323.576148,103,7,45,1,6
1/21/2025 0:00,1-Martes,01,111,0,0,111,153.934284,49,2,18,1,12
1/21/2025 0:00,1-Martes,02,118,0,0,118,84.820932,27,0,14,0,6
1/21/2025 0:00,1-Martes,03,110,0,0,110,53.405772,17,0,7,0,5
1/21/2025 0:00,1-Martes,04,105,0,0,105,72.254868,23,1,7,0,3
1/21/2025 0:00,1-Martes,05,99,0,0,99,131.943672,42,2,16,1,5
1/21/2025 0:00,1-Martes,06,214,0,0,214,191.632476,61,2,29,0,6
1/21/2025 0:00,1-Martes,07,100,0,0,100,320.434632,102,3,39,0,19
1/21/2025 0:00,1-Martes,08,137,0,0,137,455.51982,145,5,60,2,32
1/21/2025 0:00,1-Martes,09,423,0,0,423,455.51982,145,6,48,3,36
1/21/2025 0:00,1-Martes,10,147,0,0,147,480.651948,153,7,60,5,24
1/21/2025 0:00,1-Martes,11,97,0,0,97,562.331364,179,7,65,4,24
1/21/2025 0:00,1-Martes,12,152,0,0,152,493.218012,157,10,54,1,34
1/21/2025 0:00,1-Martes,13,271,0,0,271,417.821628,133,10,53,2,15
1/21/2025 0:00,1-Martes,14,120,0,0,120,424.10466,135,12,50,2,24
1/21/2025 0:00,1-Martes,15,108,0,0,108,556.048332,177,16,52,5,37
1/21/2025 0:00,1-Martes,16,178,0,0,178,562.331364,179,11,66,2,50
1/21/2025 0:00,1-Martes,17,179,0,0,179,700.558068,223,14,105,2,38
1/21/2025 0:00,1-Martes,18,290,0,0,290,791.662032,252,13,113,6,47
1/21/2025 0:00,1-Martes,19,87,0,0,87,747.680808,238,14,94,5,49
1/21/2025 0:00,1-Martes,20,75,0,0,75,797.945064,254,11,109,4,50
