,python,lenguaje,programación,software
Página Principal,73,16,20,11
https://es.wikipedia.org/wiki/Manejo_de_excepciones,0,4,4,0
https://es.wikipedia.org/wiki/Encapsulamiento_(inform%C3%A1tica),0,2,4,0
https://es.wikipedia.org/wiki/Pip_(administrador_de_paquetes),9,0,0,2
