sku_producto,nombre_producto,descripcion,descripcion,Monto,cantidad,Promedio de altura,Promedio de ancho,costo_entrega,is_active,Promedio de precio_amazon,Promedio de stock
4549659850,Mario Kart 8 Deluxe Nintendo Switch Edición Standard,Consolas,Electrónicos,7710.99,7,20.76259615,19.5775,3827.44,FALSE,19.33668342,2
4549659850,"Mario Kart 8 Deluxe, Edición Estándar Para Nintendo Switch.",Consolas,Electrónicos,41568.39,37,20.76259615,19.5775,3827.44,FALSE,19.33668342,2
4549659855,Super Mario Bros. U Deluxe Nintendo Switch,Consolas,Electrónicos,7600.76,8,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
4549659866,Super Mario Maker 2 Nintendo Switch Edicion Standard,Consolas,Electrónicos,2334.54,2,20.76259615,19.5775,3827.44,FALSE,19.33668342,2
4549659867,Super Mario Odyssey Nintendo Switch Edicion Standard,Consolas,Electrónicos,6332.02,6,20.76259615,19.5775,3827.44,FALSE,19.33668342,2
4549659867,Super Mario Odyssey Nintendo Switch Edicion Standard.,Consolas,Electrónicos,17157.92,16,20.76259615,19.5775,3827.44,FALSE,19.33668342,2
4549659869,Super Mario 3D World + Bowser’S Fury Nintendo Switch Edicion Standard,Consolas,Electrónicos,5376.45,5,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
4549659869,Super Mario 3D World + Bowser’S Fury Nintendo Switch Edicion Standard.,Consolas,Electrónicos,23001.57,21,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
4549659870,Super Smash Bros Ultimate Nintendo Switch Edicion Standard.,Consolas,Electrónicos,38530.86,38,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
4549659894,Pokémon Scarlet Nintendo Switch Físico.,Consolas,Electrónicos,6434.22,6,19.68862069,20.35614943,2604.66,TRUE,488.1689189,9
4549659959,Super Mario Bros. Wonder Nintendo Switch Físico.,Consolas,Electrónicos,41260.33,39,20.76259615,19.5775,3827.44,FALSE,19.33668342,2
5003635928,"Bocina Jbl Flip 5: Modelo Portátil, A Prueba De Agua Y Bluetooth, En Color Rojo.",Bocinas,Electrónicos,26562.51,13,19.53870968,17.20322581,3040.67,FALSE,0,0
5003637425,Bocina Bluetooth impermeable JBL Go 3 en color negro GO 3,Bocinas,Electrónicos,27026.79,42,20.41518325,16.77853403,11971.2,TRUE,0,30
